Series Name,Series Code,Country Name,Country Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995]
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Kazakhstan,KAZ,..,..,6.8,7.1,7.6,7.8,8.2,8.5,9.2,9.6,10,10.5,10.9,12,12.3,12.3,12.3,12.4,12.4,12.1,11.8,11.5,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Moldova,MDA,..,..,4.1,3.8,4,4.7,5.4,4.7,5.2,5.9,4.4,5.8,5.6,6.3,5,5.7,5.9,5.8,5.3,5.8,5.8,4.6,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Nepal,NPL,..,..,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.3,2.4,2.1,2.3,2.3,2,2.3,..,..,..,..,..
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Kazakhstan,KAZ,..,..,29,31.5,34.9,36.6,39.3,40.9,44.6,46.8,48.7,50.7,51,58.8,65.7,65.6,68.2,69.2,68.1,66.4,68.4,68.1,..,..,..,..,..
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Moldova,MDA,..,..,26.1,26,26.6,27.9,27.8,30.6,29.6,29,27,36.5,34.9,33.1,30.5,34.9,34.1,32,33,30.5,32.5,30.9,..,..,..,..,..
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Nepal,NPL,..,..,16.4,16.1,15.8,15.6,15.4,15.3,15.4,15.6,15.6,15,14.7,14.1,13.7,13.2,13.5,13.4,13.5,13.8,14.3,14.8,..,..,..,..,..
